Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
APEX.JK,Apexindo Pratama Duta Tbk PT,Indonesia,120.00,166.00,170.00,850.00,410.00,"3,546,466,661.00","2,830,004,997.00","2,796,804,997.00","2,659,850,000.00","2,659,850,000.00","4,038,585,977,500.00","3,960,420,726,895.00","4,093,078,055,220.00","5,097,936,858,750.00","4,721,111,642,520.00","2,987,103,013,310.00","2,960,711,101,160.00","3,059,588,764,760.00","3,228,047,583,750.00","2,942,154,516,600.00",0.3%,-0.2%,-26.4%,2.0%,10.5%
APIC.JK,PT Pacific Strategic Financial Tbk,Indonesia,"1,095.00","1,145.00","1,130.00","1,115.00",785.00,"11,766,313,488.00","11,766,313,488.00","11,766,313,488.00","11,766,313,488.00","11,766,313,488.00","7,280,919,685,742.00","6,717,297,020,705.00","6,857,140,243,488.00","5,936,609,239,750.00","4,881,911,874,208.00","4,669,580,477,733.00","4,282,941,682,484.00","4,588,594,576,633.00","3,824,141,372,207.00","2,920,986,089,935.00",2.0%,1.7%,2.6%,2.1%,2.6%
APII.JK,Arita Prima Indonesia Tbk PT,Indonesia,178.00,187.00,197.00,220.00,154.00,"1,075,760,000.00","1,075,760,000.00","1,075,760,000.00","1,075,760,000.00","1,075,760,000.00","628,645,607,287.00","600,737,338,506.00","564,389,039,479.00","542,329,085,650.00","512,220,639,129.00","211,211,663,724.00","190,290,049,422.00","186,711,833,365.00","180,861,359,755.00","178,999,604,014.00",1.8%,7.1%,4.9%,5.4%,7.8%
APLI.JK,Asiaplast Industries Tbk PT,Indonesia,545.00,600.00,280.00,206.00,198.00,"1,362,671,400.00","1,362,671,400.00","1,362,671,400.00","1,362,671,400.00","1,362,671,400.00","464,607,373,995.00","490,506,911,907.00","468,541,883,266.00","431,280,653,664.00","406,440,895,710.00","121,043,838,704.00","156,657,593,788.00","189,586,990,363.00","200,245,883,845.00","200,450,080,044.00",4.8%,13.9%,13.6%,6.2%,-0.5%
APLN.JK,Agung Podomoro Land Tbk PT,Indonesia,92.00,129.00,154.00,122.00,188.00,"22,699,326,779.00","22,699,326,779.00","22,699,326,779.00","22,699,326,779.00","22,699,326,779.00","26,119,677,426,000.00","28,327,551,612,000.00","28,617,781,741,000.00","29,611,111,193,000.00","30,391,359,956,000.00","12,335,995,789,000.00","14,876,147,126,000.00","16,148,220,661,000.00","19,071,333,513,000.00","19,036,134,922,000.00",3.6%,4.8%,8.9%,-1.0%,1.3%
ARCI.JK,Archi Indonesia Tbk PT,Indonesia,248.00,408.00,332.00,565.00,,"24,835,000,000.00","24,835,000,000.00","24,835,000,000.00","24,835,000,000.00","24,835,000,000.00","13,924,282,733,730.00","12,371,116,886,495.00","11,172,812,608,430.00","9,828,188,021,250.00","8,427,317,736,240.00","9,532,418,103,240.00","8,327,928,267,420.00","7,316,499,200,395.00","6,513,818,682,750.00","7,102,745,933,400.00",2.5%,3.7%,4.1%,18.2%,31.7%
AREA.JK,Dunia Virtual Online Tbk PT,Indonesia,200.00,,,,,"2,539,601,000.00","2,539,601,000.00","2,539,601,000.00","2,539,601,000.00","2,539,601,000.00","290,207,974,224.00","224,434,645,604.00","167,633,162,504.00","8,917,063,843.00","7,428,850,082.00","57,825,443,344.00","61,764,047,207.00","160,122,436,975.00","3,666,474,842.00","3,101,745,859.00",3.8%,2.5%,3.1%,53.2%,
ARGO.JK,Argo Pantes Tbk PT,Indonesia,980.00,960.00,"1,225.00","1,640.00","1,955.00","3,174,339,029.00","3,174,339,029.00","335,557,450.00","335,557,450.00","335,557,450.00","1,120,332,244,899.00","1,091,535,722,180.00","1,129,483,925,972.00","1,122,379,949,306.00","1,131,012,816,185.00","998,450,398,730.00","960,975,795,439.00","2,511,842,509,953.00","2,408,142,048,805.00","2,387,324,118,971.00",-0.4%,-2.9%,-8.4%,-2.8%,-8.0%
ARII.JK,Atlas Resources Tbk PT,Indonesia,236.00,218.00,296.00,250.00,396.00,"3,431,000,000.00","3,431,000,000.00","3,431,000,000.00","3,131,000,000.00","3,000,000,000.00","10,019,661,340,000.00","8,124,711,250,000.00","6,984,404,625,000.00","5,264,947,500,000.00","5,065,660,080,000.00","8,866,700,210,000.00","7,030,850,315,000.00","5,891,227,980,000.00","4,708,014,750,000.00","4,669,535,520,000.00",0.3%,0.7%,8.8%,1.5%,-4.9%
ARKA.JK,Arkha Jayanti Persada Tbk PT,Indonesia,28.00,50.00,50.00,54.00,55.00,"2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","2,000,000,000.00","416,514,825,329.00","452,886,922,243.00","480,584,345,100.00","463,343,986,900.00","451,600,083,080.00","302,318,932,169.00","341,647,064,760.00","379,494,918,059.00","368,355,708,096.00","360,043,882,084.00",0.5%,3.1%,1.5%,0.6%,-8.2%
