Identifier,Company Name,Country of Exchange,"Price Close
(IDR)
In the last 5 FY",,,,,"Shares - Outstanding - Total
In the last 5 FY",,,,,"Total Assets
(IDR)
In the last 5 FY",,,,,"Total Liabilities
(IDR)
In the last 5 FY",,,,,"ROA - %
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARKO.JK,Arkora Hydro Tbk PT,Indonesia,920.00,705.00,625.00,,,"2,928,495,000.00","2,928,495,000.00","2,928,495,000.00","2,899,500,000.00","2,899,500,000.00","1,319,354,658,937.00","1,158,179,925,592.00","947,943,233,617.00","688,613,746,702.00","560,588,241,912.00","867,727,938,910.00","704,081,275,850.00","547,932,041,698.00","517,588,126,470.00","439,873,419,771.00",1.7%,7.0%,9.8%,12.1%,-4.7%
ARMY.JK,Armidian Karyatama Tbk PT,Indonesia,50.00,50.00,50.00,50.00,50.00,"9,006,250,000.00","9,006,250,000.00","8,187,500,000.00","8,187,500,000.00","4,555,000,000.00","1,743,475,528,159.00","1,852,607,264,598.00","1,513,669,666,232.00","1,624,868,441,487.00","1,354,456,733,755.00","270,619,923,965.00","401,378,446,024.00","320,723,018,568.00","487,980,490,736.00","730,262,011,174.00",1.2%,1.1%,3.6%,2.0%,
ARNA.JK,Arwana Citramulia Tbk PT,Indonesia,690.00,665.00,995.00,800.00,680.00,"7,093,241,376.00","7,236,578,176.00","7,271,198,676.00","7,271,198,676.00","7,255,662,176.00","2,661,363,620,207.00","2,620,491,657,384.00","2,578,868,615,545.00","2,243,523,072,803.00","1,970,340,289,520.00","783,821,572,438.00","765,455,201,158.00","745,695,258,308.00","670,353,190,326.00","665,401,637,797.00",20.8%,22.1%,30.9%,28.9%,22.3%
ARTA.JK,Arthavest Tbk PT,Indonesia,"2,310.00","3,000.00","2,700.00","2,400.00",256.00,"446,674,175.00","446,674,175.00","446,674,175.00","446,674,175.00","446,674,175.00","292,499,026,007.00","273,405,008,095.00","360,729,901,225.00","382,348,998,125.00","394,280,340,197.00","14,259,309,144.00","12,226,453,975.00","14,064,729,498.00","20,053,866,922.00","51,589,144,973.00",6.6%,0.6%,-0.5%,-2.6%,-1.8%
ARTI.JK,Ratu Prabu Energi Tbk PT,Indonesia,2.00,5.00,50.00,50.00,50.00,"7,840,000,000.00","7,840,000,000.00","7,840,000,000.00","7,840,000,000.00","7,840,000,000.00","550,707,998,910.00","597,073,795,881.00","615,198,410,313.00","643,764,915,310.00","1,044,559,043,541.00","753,564,460,621.00","765,839,828,973.00","771,247,601,160.00","742,134,731,975.00","1,008,746,103,329.00",-0.8%,-3.3%,-9.2%,-16.0%,-51.6%
ARTO.JK,Bank Jago Tbk PT,Indonesia,"2,430.00","2,900.00","3,720.00","16,000.00","3,566.11","13,858,797,100.00","13,856,250,000.00","13,856,250,000.00","13,856,250,000.00","13,090,386,215.38","28,542,712,000,000.00","21,295,840,000,000.00","16,965,295,000,000.00","12,312,422,000,000.00","2,179,873,000,000.00","20,023,788,000,000.00","12,939,048,000,000.00","8,701,538,000,000.00","4,062,967,000,000.00","947,540,000,000.00",0.7%,0.5%,0.1%,,-10.8%
ASBI.JK,Asuransi Bintang Tbk PT,Indonesia,462.00,700.00,540.00,294.00,310.00,"348,386,472.00","348,386,472.00","348,386,472.00","348,386,472.00","348,386,472.00","883,588,848,000.00","1,045,458,890,000.00","989,810,930,000.00","954,657,152,000.00","871,769,183,000.00","467,342,631,000.00","666,794,197,000.00","620,559,335,000.00","598,914,685,000.00","557,997,452,000.00",0.2%,0.7%,0.6%,1.4%,2.2%
ASDM.JK,Asuransi Dayin Mitra Tbk PT,Indonesia,482.00,470.00,450.00,477.50,445.00,"384,000,000.00","384,000,000.00","384,000,000.00","384,000,000.00","384,000,000.00","1,082,550,737,000.00","982,940,217,000.00","888,973,513,000.00","822,740,369,000.00","859,876,511,000.00","684,080,375,000.00","611,216,174,000.00","523,847,643,000.00","461,044,434,000.00","508,174,714,000.00",3.2%,2.8%,2.9%,2.7%,3.1%
ASGR.JK,Astra Graphia Tbk PT,Indonesia,865.00,895.00,950.00,825.00,800.00,"1,348,780,500.00","1,348,780,500.00","1,348,780,500.00","1,348,780,500.00","1,348,780,500.00","2,948,437,000,000.00","2,682,813,000,000.00","2,677,651,000,000.00","2,655,278,000,000.00","2,288,831,000,000.00","1,022,777,000,000.00","890,911,000,000.00","984,429,000,000.00","1,027,625,000,000.00","726,053,000,000.00",9.1%,7.8%,4.8%,4.5%,2.5%
ASHA.JK,Cilacap Samudera Fishing Industry Tbk PT,Indonesia,12.00,50.00,89.00,,,"5,000,000,000.00","5,000,000,000.00","5,000,000,000.00","3,750,000,000.00","5,000,000,000.00","154,560,711,743.00","201,180,482,289.00","218,723,269,262.00","117,933,305,412.00","55,037,718,184.00","26,969,035,537.00","42,074,970,039.00","39,042,225,460.00","71,148,227,863.00","24,570,405,752.00",-16.7%,-10.8%,10.4%,1.1%,1.9%
ASII.JK,Astra International Tbk PT,Indonesia,"4,900.00","5,650.00","5,700.00","5,700.00","6,025.00","40,483,553,140.00","40,483,553,140.00","40,483,553,140.00","40,483,553,140.00","40,483,553,140.00","472,925,000,000,000.00","445,405,000,000,000.00","413,297,000,000,000.00","367,311,000,000,000.00","338,203,000,000,000.00","201,429,000,000,000.00","194,981,000,000,000.00","169,577,000,000,000.00","151,696,000,000,000.00","142,749,000,000,000.00",11.6%,12.7%,12.9%,,6.3%
ASJT.JK,Asuransi Jasa Tania Tbk PT,Indonesia,110.00,125.00,123.00,139.00,153.10,"1,400,000,000.00","1,400,000,000.00","1,400,000,000.00","1,400,000,000.00","783,801,436.97","573,437,684,823.00","498,723,136,080.00","499,031,756,093.00","527,852,244,647.00","365,763,908,254.00","246,340,224,481.00","174,349,279,333.00","181,189,695,973.00","219,398,368,810.00","156,229,284,959.00",0.8%,1.0%,0.2%,0.3%,-1.6%
ASLC.JK,Autopedia Sukses Lestari Tbk PT,Indonesia,77.00,97.00,121.00,,,"12,746,354,780.00","12,746,354,780.00","12,746,354,780.00","12,746,354,780.00","12,746,354,780.00","908,133,516,310.00","846,587,968,074.00","789,659,379,937.00","388,684,088,166.00","413,240,262,418.00","157,908,696,204.00","141,723,057,896.00","84,521,403,302.00","327,081,900,349.00","170,951,009,044.00",7.2%,4.0%,1.3%,9.2%,14.7%
ASLI.JK,Asri Karya Lestari PT Tbk,Indonesia,51.00,,,,,"5,000,000,000.00","6,250,000,000.00","6,250,000,000.00","6,250,000,000.00",,"413,788,587,263.00","366,941,854,480.00","99,024,503,124.00","102,795,466,076.00",,"59,555,025,771.00","32,026,295,314.00","29,469,532,348.00","43,309,833,206.00",,5.8%,10.1%,13.3%,,
ASMI.JK,Asuransi Maximus Graha Persada Tbk PT,Indonesia,11.00,50.00,105.00,260.00,990.00,"8,958,380,460.00","8,958,380,460.00","8,958,380,460.00","8,958,380,460.00","8,958,380,460.00","1,108,514,523,644.00","961,063,073,477.00","1,063,470,852,516.00","981,089,572,950.00","990,991,744,064.00","717,540,883,246.00","575,621,048,674.00","686,518,502,953.00","518,209,589,004.00","547,541,424,689.00",0.9%,1.2%,-8.5%,1.2%,-10.2%
ASPI.JK,Andalan Sakti Primaindo Tbk PT,Indonesia,132.00,138.00,89.00,74.00,100.00,"683,810,725.00","683,810,725.00","681,796,525.00","681,794,825.00","681,791,805.00","97,649,649,342.00","95,557,369,707.00","91,092,516,349.00","104,778,918,147.00","99,903,703,388.00","24,819,450,695.00","24,699,732,288.00","21,013,278,708.00","31,837,673,276.00","29,339,769,387.00",2.1%,-2.6%,-3.0%,-0.7%,-3.3%
ASRI.JK,ALAM SUTERA REALTY Tbk PT,Indonesia,134.00,164.00,160.00,162.00,242.00,"19,649,411,888.00","19,649,411,888.00","19,649,411,888.00","19,649,411,888.00","19,649,411,888.00","22,019,031,433,000.00","22,236,236,864,000.00","22,298,925,271,000.00","21,933,974,714,000.00","21,226,814,871,000.00","10,683,291,993,000.00","10,965,051,102,000.00","11,656,300,706,000.00","12,397,883,478,000.00","11,840,666,961,000.00",0.8%,3.4%,5.5%,1.1%,-4.3%
ASRM.JK,Asuransi Ramayana Tbk PT,Indonesia,338.00,391.25,407.50,423.75,420.00,"1,217,135,360.00","1,217,135,360.00","1,217,135,360.00","1,217,135,360.00","1,217,135,360.00","1,748,726,624,469.00","1,850,769,013,354.00","1,627,241,657,686.00","1,411,160,148,272.00","1,516,562,973,028.00","1,060,235,701,791.00","1,172,290,013,843.00","1,013,123,874,462.00","862,113,850,198.00","1,013,381,758,085.00",2.3%,6.1%,5.9%,5.3%,5.0%
ASSA.JK,Adi Sarana Armada Tbk PT,Indonesia,690.00,790.00,775.00,"3,320.00",635.00,"3,691,137,517.00","3,691,137,517.00","3,566,394,560.00","3,561,731,720.00","3,397,500,000.00","7,724,162,674,965.00","7,335,797,636,072.00","7,268,436,910,723.00","6,031,946,733,670.00","5,170,895,098,267.00","4,941,577,997,202.00","4,733,321,354,845.00","4,797,579,648,309.00","4,266,438,743,626.00","3,731,575,182,568.00",5.7%,0.9%,0.2%,4.0%,1.4%
ATAP.JK,Trimitra Prawara Goldland Tbk PT,Indonesia,25.00,52.00,83.00,181.00,152.00,"1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","1,250,000,000.00","106,944,468,902.00","113,772,662,961.00","115,428,413,973.00","92,377,902,100.00","100,138,039,699.00","29,289,546,144.00","34,182,353,828.00","35,810,133,789.00","14,085,534,430.00","26,911,314,093.00",-1.3%,1.0%,3.5%,8.1%,4.1%
ATIC.JK,Anabatic Technologies Tbk PT,Indonesia,374.00,500.00,392.00,800.00,575.00,"2,315,361,355.00","2,315,361,355.00","2,315,361,355.00","2,315,361,355.00","2,315,361,355.00","4,737,359,869,543.00","5,437,647,837,080.00","4,217,064,302,659.00","4,109,288,976,303.00","4,104,784,099,635.00","4,133,749,264,970.00","5,044,291,613,444.00","4,055,311,733,365.00","4,035,877,299,213.00","3,777,652,064,360.00",8.5%,10.9%,5.9%,-3.3%,-11.8%
ATLA.JK,Atlantis Subsea Indonesia Tbk PT,Indonesia,50.00,,,,,"6,199,549,466.00","6,199,500,000.00","6,199,500,000.00","6,199,500,000.00","6,199,500,000.00","174,828,602,541.00","54,222,069,603.00","48,618,027,825.00","39,767,728,831.00","85,284,994,835.00","6,942,698,467.00","5,589,377,626.00","14,878,173,515.00","12,311,769,390.00","71,270,486,074.00",4.7%,5.2%,19.0%,27.7%,
AUTO.JK,Astra Otoparts Tbk PT,Indonesia,"2,300.00","2,360.00","1,460.00","1,155.00","1,115.00","4,819,733,000.00","4,819,733,000.00","4,819,733,000.00","4,819,733,000.00","4,819,733,000.00","21,030,018,000,000.00","19,613,043,000,000.00","18,521,261,000,000.00","16,947,148,000,000.00","15,180,094,000,000.00","5,441,894,000,000.00","5,073,319,000,000.00","5,469,696,000,000.00","5,101,517,000,000.00","3,909,303,000,000.00",12.4%,12.2%,9.8%,4.7%,0.8%
AVIA.JK,Avia Avian PT Tbk,Indonesia,400.00,500.00,630.00,925.00,,"60,790,106,400.00","61,918,936,800.00","61,953,555,600.00","61,953,555,600.00","61,953,555,600.00","11,060,975,000,000.00","11,166,987,000,000.00","10,792,122,000,000.00","10,873,760,236,580.00","5,870,884,534,978.00","1,429,095,000,000.00","1,245,498,000,000.00","1,217,237,000,000.00","1,458,140,304,638.00","1,186,250,145,899.00",18.6%,18.1%,16.1%,22.0%,27.6%
AWAN.JK,PT Era Digital Media Tbk,Indonesia,346.00,308.00,,,,"3,435,000,000.00","3,435,000,000.00","3,435,000,000.00","3,435,000,000.00","3,435,000,000.00","98,420,170,851.00","97,714,378,565.00","24,605,615,539.00","17,844,600,702.00","15,139,110,681.00","5,327,557,727.00","6,396,758,009.00","3,859,417,398.00","10,075,295,035.00","8,125,848,136.00",2.1%,2.9%,25.4%,49.3%,72.8%
AXIO.JK,Tera Data Indonusa Tbk PT,Indonesia,122.00,181.00,236.00,,,"5,840,126,500.00","5,840,126,500.00","5,840,126,500.00",,,"696,901,382,834.00","334,502,089,812.00","279,712,128,961.00",,,"429,874,685,913.00","192,821,723,102.00","207,238,362,511.00",,,34.4%,5.2%,,,
AYAM.JK,JANU PUTRA SEJAHTERA Tbk PT,Indonesia,133.00,110.00,,,,"4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","4,000,000,000.00","467,820,444,645.00","355,759,037,821.00","261,840,122,827.00","225,775,495,469.00","217,390,513,816.00","260,070,186,113.00","155,010,662,197.00","146,865,304,059.00","146,945,922,192.00","199,613,985,572.00",2.9%,3.9%,5.6%,27.8%,
AYLS.JK,Agro Yasa Lestari Tbk PT,Indonesia,129.00,51.00,101.00,374.00,50.00,"853,423,236.00","853,423,236.00","853,423,236.00","853,423,200.00","853,423,200.00","42,486,532,427.00","46,051,489,036.00","47,872,724,411.00","50,430,494,916.00","69,931,037,887.00","105,469,359.00","1,592,077,844.00","1,600,771,416.00","1,723,951,655.00","22,891,026,242.00",-6.0%,-5.0%,-6.1%,2.5%,-6.5%
BABP.JK,Bank MNC Internasional Tbk PT,Indonesia,54.00,60.00,101.00,186.00,48.31,"44,458,997,354.00","33,765,744,021.00","32,221,089,956.00","29,412,224,720.00","26,222,229,906.84","20,871,409,000,000.00","18,147,378,000,000.00","16,862,363,000,000.00","14,015,360,000,000.00","11,652,904,000,000.00","17,210,289,000,000.00","14,559,944,000,000.00","14,150,029,000,000.00","11,649,903,000,000.00","10,101,667,000,000.00",0.5%,0.7%,1.0%,0.2%,0.1%
BABY.JK,Multitrend Indo Tbk PT,Indonesia,346.00,177.00,,,,"2,616,226,706.00","2,588,586,400.00","2,588,586,400.00","2,668,586,400.00","2,668,586,400.00","739,750,100,768.00","853,854,745,980.00","760,075,313,472.00","634,579,577,618.00","626,857,735,418.00","306,147,179,993.00","350,713,061,891.00","369,201,974,729.00","575,153,846,224.00","513,898,958,962.00",-10.8%,-3.9%,8.7%,-5.6%,
BACA.JK,Bank Capital Indonesia Tbk PT,Indonesia,131.00,132.00,131.00,266.00,376.00,"19,953,024,885.00","19,953,024,885.00","19,953,024,885.00","7,078,002,482.00","7,071,413,250.00","22,591,205,000,000.00","19,259,187,000,000.00","20,628,501,000,000.00","22,325,883,000,000.00","20,223,558,000,000.00","15,968,188,000,000.00","15,868,867,000,000.00","17,340,964,000,000.00","20,203,112,000,000.00","18,583,167,000,000.00",0.7%,0.7%,0.2%,0.2%,0.4%
BAIK.JK,Pt Bersama Mencapai Puncak Tbk,Indonesia,59.00,,,,,"1,125,000,000.00","900,000,000.00","1,125,000,000.00","1,125,000,000.00","1,125,000,000.00","140,843,024,613.00","79,193,506,541.00","69,680,790,192.00","29,156,445,486.00","15,777,002,183.00","12,975,676,377.00","13,789,200,640.00","15,845,663,670.00","10,386,218,603.00","5,813,155,328.00",7.2%,19.9%,39.0%,50.3%,
BAJA.JK,Saranacentral Bajatama Tbk PT,Indonesia,93.00,123.00,124.00,334.00,116.00,"1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","1,800,000,000.00","704,587,096,783.00","726,111,487,745.00","731,341,359,270.00","725,506,645,166.00","760,425,479,634.00","647,423,349,628.00","615,100,361,501.00","621,151,862,369.00","509,059,700,605.00","632,586,391,148.00",-8.0%,-0.1%,-18.1%,17.6%,6.1%
BALI.JK,Bali Towerindo Sentra Tbk PT,Indonesia,"1,745.00",825.00,845.00,875.00,800.00,"3,934,592,500.00","3,934,592,500.00","3,934,592,500.00","3,934,592,500.00","3,934,592,500.00","6,076,124,615,938.00","5,518,615,852,434.00","5,196,995,589,938.00","5,001,398,828,957.00","4,651,939,975,688.00","3,495,309,913,102.00","3,003,504,092,237.00","2,753,271,517,109.00","2,649,677,296,449.00","2,472,095,850,875.00",3.5%,3.8%,5.3%,5.0%,3.0%
BANK.JK,Bank Aladin Syariah Tbk PT,Indonesia,825.00,"1,240.00","1,415.00","2,290.00",,"13,918,476,817.00","13,918,379,517.00","13,770,509,989.00","13,241,354,364.00","8,193,072,560.00","9,362,085,000,000.00","7,092,120,000,000.00","4,733,401,000,000.00","2,173,162,000,000.00","721,397,000,000.00","6,223,492,000,000.00","4,006,879,000,000.00","1,590,125,000,000.00","1,126,835,000,000.00","80,123,000,000.00",-0.9%,-3.8%,-7.7%,-8.4%,6.2%
BAPA.JK,Bekasi Asri Pemula Tbk PT,Indonesia,56.00,67.00,95.00,68.00,50.00,"661,784,520.00","661,784,520.00","661,784,520.00","661,784,520.00","661,784,520.00","132,681,019,728.00","134,862,326,695.00","135,434,013,488.00","139,570,998,335.00","142,306,771,029.00","12,058,589,498.00","9,062,277,505.00","6,589,092,293.00","7,171,085,839.00","8,098,923,359.00",-3.3%,-1.9%,-2.5%,-1.3%,-2.4%
BAPI.JK,Bhakti Agung Propertindo Tbk PT,Indonesia,10.00,50.00,50.00,50.00,50.00,"5,591,980,103.00","5,591,962,740.00","5,591,752,886.00","5,591,740,006.00","5,591,740,006.00","686,673,855,734.00","672,664,749,162.00","663,258,694,473.00","650,261,732,915.00","626,301,225,193.00","265,627,940,981.00","246,253,061,442.00","235,520,230,604.00","222,518,049,973.00","197,568,262,765.00",-0.8%,-0.2%,0.0%,-0.1%,-0.3%
BATA.JK,Sepatu Bata Tbk PT,Indonesia,50.00,141.00,520.00,492.00,635.00,"1,300,000,000.00","1,300,000,000.00","1,300,000,000.00","1,300,000,000.00","1,300,000,000.00","585,739,829,000.00","724,073,958,000.00","652,742,235,000.00","775,324,937,000.00","863,146,554,000.00","454,389,781,000.00","404,306,330,000.00","225,816,742,000.00","297,380,758,000.00","209,895,228,000.00",-24.8%,-9.9%,-9.0%,-27.5%,4.1%
BATR.JK,Benteng Api Technic PT Tbk,Indonesia,77.00,,,,,"3,025,000,000.00","3,025,000,000.00","3,025,000,000.00","3,025,000,000.00","3,025,000,000.00","210,998,978,222.00","115,905,860,142.00","115,521,624,957.00","127,071,792,575.00","93,065,459,022.00","60,370,430,213.00","39,815,960,759.00","51,072,157,318.00","75,381,520,758.00","45,265,256,601.00",7.2%,13.0%,12.2%,4.4%,
BAUT.JK,Mitra Angkasa Sejahtera PT Tbk,Indonesia,15.00,50.00,50.00,,,"4,800,142,929.00","4,800,133,366.00","4,800,047,637.00","3,350,000,000.00","4,800,000,000.00","228,056,969,009.00","256,615,551,685.00","245,227,189,877.00","93,339,993,271.00","82,397,900,924.00","44,415,518,385.00","58,751,560,610.00","51,156,342,041.00","47,342,740,613.00","72,147,148,978.00",-5.9%,2.6%,5.3%,6.4%,0.8%
BAYU.JK,Bayu Buana Tbk PT,Indonesia,"1,380.00","1,485.00",995.00,"1,130.00","1,115.00","353,220,780.00","353,220,780.00","353,220,780.00","353,220,780.00","353,220,780.00","969,583,747,422.00","883,539,172,213.00","792,976,671,136.00","735,109,129,569.00","692,609,391,235.00","477,109,847,027.00","431,771,770,724.00","377,064,430,626.00","278,986,637,374.00","294,478,835,659.00",13.6%,10.4%,5.9%,0.1%,0.4%
BBCA.JK,Bank Central Asia Tbk PT,Indonesia,"9,675.00","9,400.00","8,550.00","7,300.00","6,770.00","123,275,050,000.00","123,275,050,000.00","123,275,050,000.00","123,275,050,000.00","123,275,050,000.00","1,449,301,328,000,000.00","1,408,107,010,000,000.00","1,314,731,674,000,000.00","1,228,344,680,000,000.00","1,075,570,256,000,000.00","1,186,466,241,000,000.00","1,165,569,417,000,000.00","1,093,550,019,000,000.00","1,025,495,746,000,000.00","890,855,547,000,000.00",4.8%,4.4%,4.0%,3.4%,3.4%
BBHI.JK,Allo Bank Indonesia Tbk PT,Indonesia,700.00,"1,290.00","1,765.00","3,957.82",88.21,"21,730,256,442.00","21,730,256,442.00","21,730,256,442.00","20,884,384,567.67","20,112,609,053.15","13,984,013,771,497.00","12,750,434,573,380.00","11,058,956,402,885.00","4,649,357,148,732.00","2,586,663,487,991.00","6,718,277,278,242.00","5,865,358,695,582.00","4,647,687,466,123.00","3,346,086,245,899.00","2,239,597,029,811.00",4.5%,4.8%,4.5%,6.1%,1.8%
BBKP.JK,Bank KB Bukopin Tbk PT,Indonesia,54.00,80.00,100.72,266.62,410.26,"187,887,539,870.00","187,887,539,870.00","68,748,268,499.62","68,748,268,499.62","45,792,688,089.23","83,075,298,000,000.00","84,307,300,000,000.00","89,995,352,000,000.00","89,215,674,000,000.00","79,938,578,000,000.00","75,113,512,000,000.00","70,197,137,000,000.00","78,778,747,000,000.00","76,009,770,000,000.00","71,472,136,000,000.00",-5.9%,-7.8%,-5.7%,-3.7%,-4.4%
BBLD.JK,Buana Finance Tbk PT,Indonesia,650.00,660.00,610.00,370.00,368.00,"1,645,796,054.00","1,645,796,054.00","1,645,796,054.00","1,645,796,054.00","1,645,796,054.00","6,634,148,000,000.00","5,789,617,000,000.00","4,630,150,000,000.00","3,582,868,000,000.00","4,115,895,000,000.00","5,210,405,000,000.00","4,394,881,000,000.00","3,314,209,000,000.00","2,339,047,000,000.00","2,907,239,000,000.00",1.3%,2.5%,2.8%,0.9%,0.6%
BBMD.JK,Bank Mestika Dharma Tbk PT,Indonesia,"1,930.00","2,000.00","2,120.00","2,000.00","1,500.00","4,029,124,600.00","4,027,068,800.00","4,027,068,800.00","4,027,068,800.00","4,026,956,100.00","16,577,960,829,786.00","16,054,823,605,763.00","16,583,990,927,531.00","15,983,152,301,240.00","14,159,755,232,533.00","11,489,613,636,451.00","11,151,169,361,070.00","12,031,692,974,122.00","11,693,332,176,560.00","10,150,492,606,994.00",3.2%,3.3%,4.1%,4.4%,3.1%
BBNI.JK,Bank Negara Indonesia (Persero) Tbk PT,Indonesia,"4,350.00","5,375.00","4,612.50","3,375.00","3,087.50","37,256,798,316.00","37,216,283,716.00","37,297,312,916.00","37,208,788,316.00","37,258,153,516.00","1,129,805,637,000,000.00","1,086,663,986,000,000.00","1,029,836,868,000,000.00","964,837,692,000,000.00","891,337,425,000,000.00","962,619,084,000,000.00","931,931,466,000,000.00","889,639,206,000,000.00","838,317,715,000,000.00","778,465,226,000,000.00",2.4%,2.4%,2.3%,1.4%,0.6%
BBRI.JK,Bank Rakyat Indonesia (Persero) Tbk PT,Indonesia,"4,080.00","5,725.00","4,940.00","4,110.00","4,068.25","150,649,123,304.00","150,790,856,704.00","151,070,680,004.00","151,543,070,004.00","126,430,719,557.20","1,992,983,447,000,000.00","1,965,007,030,000,000.00","1,865,639,010,000,000.00","1,678,097,734,000,000.00","1,610,065,344,000,000.00","1,669,794,400,000,000.00","1,648,534,888,000,000.00","1,562,243,693,000,000.00","1,386,310,930,000,000.00","1,380,598,462,000,000.00",3.9%,4.0%,3.6%,2.3%,1.8%
BBRM.JK,Pelayaran Nasional Bina Buana Raya Tbk PT,Indonesia,79.00,65.00,72.00,67.77,67.77,"8,479,490,328.00","8,479,490,328.00","8,479,490,328.00","3,959,510,028.11","3,936,079,165.47","696,096,344,210.00","535,535,011,525.00","529,349,680,310.00","479,462,653,500.00","522,475,546,320.00","84,689,811,540.00","77,321,987,905.00","129,113,231,500.00","363,957,255,000.00","421,514,046,720.00",21.5%,12.1%,2.4%,2.1%,-19.2%
BBSI.JK,Krom Bank Indonesia Tbk PT,Indonesia,"4,200.00","3,660.00","3,160.00","4,101.83",769.91,"3,674,723,301.00","3,674,723,301.00","3,467,047,177.41","3,172,762,005.85","3,262,782,165.80","6,651,447,899,693.00","3,638,412,543,437.00","3,313,589,745,696.00","2,477,550,078,760.00","1,441,234,275,187.00","3,331,408,004,480.00","443,043,060,218.00","248,248,586,432.00","403,505,741,590.00","432,251,684,034.00",3.1%,5.0%,3.3%,4.3%,3.8%
BBSS.JK,Bumi Benowo Sukses Sejahtera Tbk PT,Indonesia,148.00,79.00,65.00,50.00,102.00,"4,800,016,020.00","4,800,016,020.00","4,800,016,020.00","4,800,016,020.00","4,800,000,000.00","250,738,828,218.00","251,691,605,707.00","253,436,945,894.00","254,690,876,408.00","256,020,467,272.00","4,074,655,388.00","4,136,795,967.00","4,649,445,404.00","3,872,214,511.00","4,368,604,670.00",-0.3%,-0.5%,-0.7%,-0.4%,-0.2%
BBTN.JK,Bank Tabungan Negara (Persero) Tbk PT,Indonesia,"1,140.00","1,250.00","1,350.00","1,668.05","1,663.23","14,034,444,413.00","14,034,444,413.00","10,983,312,417.68","10,983,312,417.68","10,983,312,417.68","469,614,502,000,000.00","438,749,736,000,000.00","402,148,312,000,000.00","371,868,311,000,000.00","361,208,406,000,000.00","437,042,613,000,000.00","408,270,584,000,000.00","376,238,958,000,000.00","350,461,664,000,000.00","341,220,561,000,000.00",0.8%,1.0%,1.0%,0.8%,0.7%
BBYB.JK,PT Bank Neo Commerce Tbk,Indonesia,218.00,436.00,645.00,"2,455.73",247.13,"13,350,482,346.00","12,038,815,679.00","10,090,262,638.42","10,090,262,638.42","8,032,891,542.60","17,409,065,000,000.00","18,169,541,000,000.00","19,694,280,000,000.00","11,337,808,684,383.00","5,421,324,398,438.00","13,847,228,000,000.00","14,846,502,000,000.00","15,949,690,000,000.00","8,447,980,414,962.00","4,300,705,118,122.00",0.1%,-3.0%,-5.1%,-11.8%,0.3%
