Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
MOLI.JK,Madusari Murni Indah Tbk PT,Indonesia, 0.32 , 0.39 , 0.41 , 0.41 , 0.53 
PZZA.JK,Sarimelati Kencana Tbk PT,Indonesia, 0.59 , 0.70 , 0.64 , 0.32 , 0.42 
TRUK.JK,Guna Timur Raya Tbk PT,Indonesia, 0.12 , 0.12 ,, 0.18 , 0.24 
MSIN.JK,MNC Digital Entertainment Tbk PT,Indonesia, 0.03 , 0.05 , 1.77 , 0.12 , 0.35 
TUGU.JK,Asuransi Tugu Pratama Indonesia Tbk PT,Indonesia, 0.06 , 0.03 , 0.02 , 0.02 , 0.02 
TNCA.JK,Trimuda Nuansa Citra Tbk PT,Indonesia, 0.04 , 0.03 , 0.02 , 0.05 , 0.03 
SWAT.JK,Sriwahana Adityakarta Tbk PT,Indonesia, 1.94 , 1.75 , 1.29 , 0.67 , 0.64 
BPTR.JK,Batavia Prosperindo Trans Tbk PT,Indonesia, 2.50 , 1.87 , 3.35 , 2.23 , 1.27 
NFCX.JK,NFC Indonesia Tbk PT,Indonesia, 0.48 , 0.39 , 0.14 , 0.16 , 0.09 
MAPA.JK,MAP Aktif Adiperkasa Tbk PT,Indonesia, 0.37 , 0.42 , 0.29 , 0.24 , 0.41 
IPCC.JK,Indonesia Kendaraan Terminal Tbk PT,Indonesia, 0.34 , 0.33 , 0.69 , 0.69 , 0.68 
MGRO.JK,Mahkota Group Tbk PT,Indonesia, 4.59 , 3.70 , 2.59 , 1.19 , 0.83 
TCPI.JK,Transcoal Pacific Tbk PT,Indonesia, 0.54 , 0.48 , 0.52 , 0.58 , 0.59 
POLL.JK,Pollux Properties Indonesia Tbk PT,Indonesia, 0.27 , 0.44 , 0.62 , 1.37 , 1.24 
RISE.JK,Jaya Sukses Makmur Sentosa Tbk PT,Indonesia, 0.22 , 0.22 , 0.10 , 0.09 , 0.16 
NUSA.JK,Sinergi Megah Internusa Tbk PT,Indonesia, 0.06 , 0.08 ,, -   ,
NETV.JK,MDTV Media Technologies Tbk PT,Indonesia, 0.34 ,,,, 24.72 
FILM.JK,MD Entertainment PT Tbk,Indonesia, 0.37 , 0.00 , 0.00 , 0.00 , 0.00 
DIGI.JK,Arkadia Digital Media Tbk PT,Indonesia,,,, 0.90 , 0.51 
SKRN.JK,Superkrane Mitra Utama Tbk PT,Indonesia, 0.58 , 1.00 , 0.78 , 1.08 , 1.12 
CITY.JK,Natura City Developments Tbk PT,Indonesia, 0.09 , 0.01 ,,,
POLA.JK,Pool Advista Finance Tbk PT,Indonesia,,, -   , 0.00 , 0.01 
SOSS.JK,Shield On Service Tbk PT,Indonesia, 0.22 , 0.33 , 0.38 , 0.48 , 0.71 
DEAL.JK,Dewata Freightinternational Tbk PT,Indonesia,,, 1.96 , 1.00 , 0.91 
