Identifier,Company Name,Country of Exchange,"Debt to Equity Ratio (DER)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020
,,,,,,,
DGWG.JK,Delta Giri Wacana Tbk PT,Indonesia, 1.28 , 1.14 , 1.45 , 0.79 ,
KSIX.JK,Kentanix Supra International Tbk PT,Indonesia, 0.00 ,,,,
CBDK.JK,Bangun Kosambi Sukses Pt Tbk,Indonesia, 0.04 , 0.04 , 0.05 , 9.98 ,
OBAT.JK,Brigit Biofarmaka Teknologi Tbk PT,Indonesia, 0.22 , 0.09 , 0.02 , 0.01 ,
BRRC.JK,Raja Roti Cemerlang Tbk PT,Indonesia, 0.73 , 0.45 , 0.49 , 0.07 ,
KAQI.JK,Jantra Grupo Indonesia PT Tbk,Indonesia, 0.19 , 0.18 , 2.26 , -   ,
MINE.JK,Sinar Terang Mandiri PT Tbk,Indonesia, 0.88 , 0.60 , 1.44 , 5.08 ,
YUPI.JK,Yupi Indo Jelly Gum Tbk PT,Indonesia, 0.04 , 0.09 , 0.16 ,,
MDLA.JK,Medela Potentia Tbk PT,Indonesia, 0.09 , 0.22 , 0.09 ,,
FORE.JK,Fore Kopi Indonesia PT Tbk,Indonesia, 0.86 , 2.03 ,,,
DKHH.JK,Cipta Sarana Medika Tbk PT,Indonesia, 0.88 , 1.12 , 1.83 ,,
ASPR.JK,Asia Pramulia Tbk PT,Indonesia, 1.65 , 1.08 , 1.04 ,,
BLOG.JK,Trimitra Trans Persada Tbk PT,Indonesia, 0.60 , 0.48 , 0.68 ,,
COIN.JK,Indokripto Koin Semesta Tbk PT,Indonesia, 0.17 , 1.36 , -   ,,
PSAT.JK,Pancaran Samudera Transport Tbk PT,Indonesia, 0.17 , 0.04 , 0.01 ,,
CDIA.JK,Chandra Daya Investasi Tbk PT,Indonesia, 0.39 , 0.29 ,,,
CHEK.JK,Diastika Biotekindo Tbk PT,Indonesia, 0.01 , 0.01 , 0.00 ,,
MERI.JK,Merry Riana Edukasi Tbk PT,Indonesia, 0.04 , -   , -   ,,
PMUI.JK,Prima Multi Usaha Indonesia Tbk PT,Indonesia, -   , -   , 0.46 ,,
EMAS.JK,Merdeka Gold Resources PT Tbk,Indonesia, 0.73 , 0.95 , 0.20 ,,
PJHB.JK,Pelayaran Jaya Hidup Baru Tbk PT,Indonesia, 0.01 , 0.01 , 0.04 ,,
RLCO.JK,Abadi Lestari Indonesia PT Tbk,Indonesia, 7.41 , 10.14 , 14.33 ,,
SUPA.JK,Super Bank Indonesia Tbk PT,Indonesia, 0.10 , 0.00 , 0.00 ,,
