Identifier,Company Name,Country of Exchange,"ESG Score
In the last 5 FY",,,,,"Revenue - Total
(IDR)
In the last 5 FY",,,,
,,,2024,2023,2022,2021,2020,2024,2023,2022,2021,2020
,,,,,,,,,,,,
ASMI.JK,Asuransi Maximus Graha Persada Tbk PT,Indonesia,,,,,,"381,389,684,753.00","394,346,891,725.00","250,749,514,784.00","276,574,980,033.00","159,514,030,284.00"
TALF.JK,Tunas Alfin Tbk PT,Indonesia,,,,,,"1,343,155,786,865.00","1,262,896,271,398.00","1,318,100,566,433.00","1,047,891,188,545.00","1,022,101,048,870.00"
XISI.JK,Premier ETF SMINFRA18,Indonesia,,,,,,,,,,
LRNA.JK,Eka Sari Lorena Transport Tbk PT,Indonesia,,,,,,"80,930,286,372.00","92,958,603,499.00","93,102,920,936.00","70,200,908,124.00","65,046,772,361.00"
LINK.JK,Link Net Tbk PT,Indonesia,36.53,27.71,23.62,9.68,,"2,520,686,000,000.00","2,551,893,000,000.00","4,370,781,000,000.00","4,464,900,000,000.00","4,047,964,000,000.00"
CINT.JK,Chitose Internasional Tbk PT,Indonesia,,,,,,"461,778,022,186.00","456,909,638,219.00","437,621,524,745.00","287,145,581,206.00","330,675,687,019.00"
MIKA.JK,Mitra Keluarga Karyasehat Tbk PT,Indonesia,,,,,,"4,874,369,366,591.00","4,264,279,218,860.00","4,048,932,635,364.00","4,352,868,253,731.00","3,419,342,747,346.00"
TARA.JK,Agung Semesta Sejahtera Tbk PT,Indonesia,,,,,,"3,833,180,796.00","3,545,453,600.00","2,727,272,000.00","47,807,714,524.00","8,918,828,413.00"
MBAP.JK,Mitrabara Adiperdana Tbk PT,Indonesia,,,,,,"3,506,137,998,370.00","3,449,819,457,370.00","6,997,021,676,260.00","4,415,221,795,500.00","2,824,950,309,480.00"
MGNA.JK,Magna Investama Mandiri Tbk PT,Indonesia,,,,,,"50,001,782,171.00","47,510,725,613.00","29,267,884,881.00",,0.00
BPII.JK,Batavia Prosperindo Internasional Tbk PT,Indonesia,,,,,,"1,141,720,736,228.00","973,491,883,380.00","846,721,932,617.00","657,205,125,721.00","882,021,061,343.00"
XISR.JK,Premier ETF SRI-KEHATI,Indonesia,,,,,,,,,,
XIIF.JK,Premier ETF Indonesia Financial,Indonesia,,,,,,,,,,
SOCI.JK,Soechi Lines Tbk PT,Indonesia,,,,,,"2,665,131,413,460.00","2,616,591,284,660.00","2,242,625,699,105.00","1,834,846,059,750.00","1,824,730,783,200.00"
GOLL.JK,Golden Plantation Tbk PT,Indonesia,,,,,,"3,720,962,679.00","19,183,691,878.00","98,391,684,290.00","214,860,495,031.00","177,239,079,750.00"
AGRS.JK,Bank IBK Indonesia Tbk PT,Indonesia,,,,,,"682,889,000,000.00","581,802,000,000.00","517,402,000,000.00","378,757,000,000.00","211,520,000,000.00"
PPRO.JK,PP Properti Tbk PT,Indonesia,,,,,,"458,507,659,754.00","983,511,392,626.00","1,704,677,634,556.00","862,464,587,830.00","2,075,242,421,357.00"
IMPC.JK,Impack Pratama Industri Tbk PT,Indonesia,,,,,,"3,877,933,381,099.00","3,630,700,574,969.00","2,808,698,656,787.00","2,227,367,211,794.00","1,797,514,877,242.00"
IBFN.JK,Intan Baru Prana Tbk PT,Indonesia,,,,,,"8,617,634,844.00","-10,645,633,106.00","29,691,819,233.00","18,499,146,353.00","-45,953,039,838.00"
BBYB.JK,PT Bank Neo Commerce Tbk,Indonesia,,,,,,"2,822,259,000,000.00","2,988,937,000,000.00","1,727,728,000,000.00","437,853,751,068.00","180,240,206,914.00"
BRIS.JK,Pt Bank Syariah Indonesia Tbk,Indonesia,48.86,49.53,50.51,,,"18,002,432,000,000.00","16,474,592,000,000.00","15,692,527,000,000.00","13,491,702,000,000.00","12,033,705,000,000.00"
DMAS.JK,Puradelta Lestari Tbk PT,Indonesia,,,,,,"2,032,677,883,645.00","1,921,421,675,246.00","1,932,425,763,139.00","1,440,736,819,516.00","2,629,300,300,189.00"
MDKA.JK,Merdeka Copper Gold Tbk PT,Indonesia,44.50,48.47,28.55,28.73,25.11,"36,026,007,020,100.00","26,275,912,384,665.00","13,539,666,557,175.00","5,428,630,823,250.00","4,518,926,825,400.00"
MMLP.JK,Mega Manunggal Property Tbk PT,Indonesia,,,,,,"343,324,859,000.00","348,348,965,000.00","334,523,481,000.00","316,572,333,000.00","336,776,801,000.00"
ATIC.JK,Anabatic Technologies Tbk PT,Indonesia,,,,,,"8,954,849,845,355.00","10,207,024,936,502.00","7,809,976,522,248.00","6,448,627,581,163.00","6,135,530,654,817.00"
BOLT.JK,Garuda Metalindo Tbk PT,Indonesia,,,,,,"1,475,267,193,107.00","1,465,497,596,463.00","1,415,021,293,643.00","1,181,849,268,110.00","788,873,091,221.00"
BIKA.JK,Binakarya Jaya Abadi Tbk PT,Indonesia,,,,,,"269,873,042,818.00","504,204,354,504.00","517,130,621,986.00","135,317,894,251.00","394,076,483,099.00"
BBHI.JK,Allo Bank Indonesia Tbk PT,Indonesia,,,,,,"1,393,311,888,036.00","1,136,960,810,435.00","759,766,174,692.00","300,162,421,730.00","51,443,614,233.00"
